productType,variantId,sku,prices,tax,categories,images,name.en,description.en,slug.en,metaTitle.en,metaDescription.en,metaKeywords.en,size,color
toys,1,1,EUR 1995,Standard tax category,Toys,https://s3.eu-central-1.amazonaws.com/commercetools-angry-bird-demo/Chuck+Solo+Plush+Toy.jpg,"Chuck ""Ham"" Solo Plush Toy","Chuck Solo is a famous junk food smuggler; that’s why he’s called ""Ham""",Chuck-Ham-Solo-Plush-Toy,"Chuck ""Ham"" Solo Plush Toy","Chuck Solo is a famous junk food smuggler; that’s why he’s called ""Ham""","star wars, toy, angry birds",onesize,multicolor
toys,1,2,EUR 1413,Standard tax category,Toys,https://s3.eu-central-1.amazonaws.com/commercetools-angry-bird-demo/Red+Skywalker+Plush+Toy.jpg,Red Skywalker Plush Toy,Red Skywalker is a committed Rebel and is learning to be a Jedi Bird warrior.,Red-Skywalker-Plush-Toy,Red Skywalker Plush Toy,Red Skywalker is a committed Rebel and is learning to be a Jedi Bird warrior.,"star wars, toy, angry birds",onesize,multicolor
toys,1,3,EUR 1399,Standard tax category,Toys,https://s3.eu-central-1.amazonaws.com/commercetools-angry-bird-demo/Chuck+Plush+Toy.jpg,Chuck Plush Toy,Chuck is Red’s loyal friend and the fastest of the Birds. He acts before he thinks and this often lands him in trouble.,Chuck-Plush-Toy,Chuck Plush Toy,Chuck is Red’s loyal friend and the fastest of the Birds. He acts before he thinks and this often lands him in trouble.,"star wars, toy, angry birds",onesize,multicolor
toys,1,4,EUR 1995,Standard tax category,Toys,https://s3.eu-central-1.amazonaws.com/commercetools-angry-bird-demo/C-3PYOLK+Plush+Toy.jpg,C-3PYOLK Plush Toy,"C-3PYOLK is a Protocol Droid and interpreter. A Droid of Peace, he is always trying to find diplomatic solutions",C-3PYOLK-Plush-Toy,C-3PYOLK Plush Toy,"C-3PYOLK is a Protocol Droid and interpreter. A Droid of Peace, he is always trying to find diplomatic solutions","star wars, toy, angry birds",onesize,multicolor
toys,1,5,EUR 894,Standard tax category,Toys,https://s3.eu-central-1.amazonaws.com/commercetools-angry-bird-demo/Pigtrooper+Plush+Toy.jpg,Pigtrooper Plush Toy,"Pigtroopers keep looking for junk food around the universe and deliver it to their ruler Emperor Piglatine. They don’t think for themselves, they merely follow orders and often fail in whatever they are trying to do",Pigtrooper-Plush-Toy,Pigtrooper Plush Toy,"Pigtroopers keep looking for junk food around the universe and deliver it to their ruler Emperor Piglatine. They don’t think for themselves, they merely follow orders and often fail in whatever they are trying to do","star wars, toy, angry birds",onesize,multicolor
toys,1,6,EUR 2999,Standard tax category,Toys,https://s3.eu-central-1.amazonaws.com/commercetools-angry-bird-demo/Stella+Bird+Plush+Toy.jpg,Stella Bird Plush Toy,"Looks can fool you: Stella might look like a chick in need of rescuing, but her feisty character is far from a helpless girl!
Now available as a cuddly plush toy in various sizes.",Stella-Bird-Plush-Toy,Stella Bird Plush Toy,"Looks can fool you: Stella might look like a chick in need of rescuing, but her feisty character is far from a helpless girl!
Now available as a cuddly plush toy in various sizes.","star wars, toy, angry birds",onesize,multicolor
toys,1,7,EUR 697,Standard tax category,Toys,https://s3.eu-central-1.amazonaws.com/commercetools-angry-bird-demo/Lard+Vader+Plush+Toy.jpg,Lard Vader Plush Toy,"Once a Jedi Bird warrior, now fighting for the pigs!",Lard-Vader-Plush-Toy,Lard Vader Plush Toy,"Once a Jedi Bird warrior, now fighting for the pigs!","star wars, toy, angry birds",onesize,multicolor
toys,1,8,EUR 449,Standard tax category,Toys,https://s3.eu-central-1.amazonaws.com/commercetools-angry-bird-demo/Princess+Stella+Organa+Plush+Toy.jpg,Princess Stella Organa Plush Toy,"Princess Stella Organa is one of the leaders of the Bird Republic. She’s stubborn, dramatic and expects everybody to obey her and at the same time she wants to destroy the Pig Empire to free the birds’ home planet",Princess-Stella-Organa-Plush-Toy,Princess Stella Organa Plush Toy,"Princess Stella Organa is one of the leaders of the Bird Republic. She’s stubborn, dramatic and expects everybody to obey her and at the same time she wants to destroy the Pig Empire to free the birds’ home planet","star wars, toy, angry birds",onesize,multicolor
toys,1,9,EUR 449,Standard tax category,Toys,https://s3.eu-central-1.amazonaws.com/commercetools-angry-bird-demo/Obi-Wan+Kaboomi+Plush+Toy.jpg,Obi-Wan Kaboomi Plush Toy,"Obi-Wan Kaboomi is a Jedi Bird warrior and very proud of his powers, although he can’t always control his explosions",Obi-Wan-Kaboomi-Plush-Toy,Obi-Wan Kaboomi Plush Toy,"Obi-Wan Kaboomi is a Jedi Bird warrior and very proud of his powers, although he can’t always control his explosions","star wars, toy, angry birds",onesize,multicolor
toys,1,10,EUR 4495,Standard tax category,Toys,https://s3.eu-central-1.amazonaws.com/commercetools-angry-bird-demo/Yoda+Bird+Plush+Toy.jpg,Yoda Bird Plush Toy,No Angry Birds Star Wars collections is complete without Yoda – the Jedi trainer of Luke Skywalker and Grand Master of the Jedi Council!,Yoda-Bird-Plush-Toy,Yoda Bird Plush Toy,No Angry Birds Star Wars collections is complete without Yoda – the Jedi trainer of Luke Skywalker and Grand Master of the Jedi Council!,"star wars, toy, angry birds",onesize,multicolor
toys,1,11,EUR 2999,Standard tax category,Toys,https://s3.eu-central-1.amazonaws.com/commercetools-angry-bird-demo/Corporal+Pig+Plush+Toy.jpg,Corporal Pig Plush Toy,Corporal pig is the loyal leader of the King’s army. He tirelessly leads his troops from failure to failure.,Corporal-Pig-Plush-Toy,Corporal Pig Plush Toy,Corporal pig is the loyal leader of the King’s army. He tirelessly leads his troops from failure to failure.,"star wars, toy, angry birds",onesize,multicolor
toys,1,12,EUR 1170,Standard tax category,Toys,https://s3.eu-central-1.amazonaws.com/commercetools-angry-bird-demo/Terebacca+Plush+Toy.jpg,Terebacca Plush Toy,Terebacca is Ham Solo’s co-pilot and mechanic. Seems to be emotionless and communicates only by grunting and staring,Terebacca-Plush-Toy,Terebacca Plush Toy,Terebacca is Ham Solo’s co-pilot and mechanic. Seems to be emotionless and communicates only by grunting and staring,"star wars, toy, angry birds",onesize,multicolor
toys,1,13,EUR 1784,Standard tax category,Toys,https://s3.eu-central-1.amazonaws.com/commercetools-angry-bird-demo/Luke+Skywalker+Bird+Plush+Toy.jpg,Luke Skywalker Bird Plush Toy,"Luke, I’m your… feather, right?
Anyway, this plush toy is a legend.",Luke-Skywalker-Bird-Plush-Toy,Luke Skywalker Bird Plush Toy,"Luke, I’m your… feather, right?
Anyway, this plush toy is a legend.","star wars, toy, angry birds",onesize,multicolor
toys,1,14,EUR 1299,Standard tax category,Toys,https://s3.eu-central-1.amazonaws.com/commercetools-angry-bird-demo/+Lazer+Bird+Plush+Toy.jpg,Lazer Bird Plush Toy,Lazer Bird is one of the fastest things in the universe whenever he uses his super power the Ultimate Lazer Rush. Lazer Bird is the joker of the group and being a little impatient he often gets the flock into trouble.,Lazer-Bird-Plush-Toy,Lazer Bird Plush Toy,Lazer Bird is one of the fastest things in the universe whenever he uses his super power the Ultimate Lazer Rush. Lazer Bird is the joker of the group and being a little impatient he often gets the flock into trouble.,"star wars, toy, angry birds",onesize,multicolor
